Nom,Age,Type_d_infraction,Infraction,Date_d_infraction
Audrey Dijoux,39.0,Délits,Infractions sur les stupéfiants,2018-07-07
Audrey Dijoux,39.0,Délits,Infractions sur les stupéfiants,2011-12-22
Audrey Dijoux,39.0,Délits,Blessures involontaires,2003-02-24
Audrey Dijoux,39.0,Crimes,"Vols, recels, destructions",2006-04-05
Audrey Dijoux,39.0,Crimes,"Vols, recels, destructions",2015-10-20
Audrey Dijoux,39.0,Contraventions,Atteintes à la sûreté publique,2021-06-24
Margaret de la Collet,88.0,Délits,Autres atteintes à la sûreté publique,2014-02-16
Margaret de la Collet,88.0,Crimes,"Vols, recels, destructions",1999-02-22
Margaret de la Collet,88.0,Crimes,"Vols, recels, destructions",1985-07-15
Michelle Philippe,86.0,Contraventions,Ordre administratif et judiciaire,1969-11-09
Michelle Philippe,86.0,Contraventions,Atteintes à l'environnement,1959-07-08
Maggie Jourdan,83.0,Contraventions,Atteintes à l'ordre économique,2012-01-03
Maggie Jourdan,83.0,Délits,Vols - recels,2002-10-24
Maggie Jourdan,83.0,Délits,Infractions militaires,1973-04-19
Marguerite Gomes-Mendès,43.0,Crimes,Homicides volontaires,2008-08-16
Marguerite Gomes-Mendès,43.0,Contraventions,Atteintes à l'environnement,2019-06-30
Marguerite Gomes-Mendès,43.0,Crimes,Coups et violences volontaires,2006-11-22
Marguerite Gomes-Mendès,43.0,Contraventions,Coups et violences volontaires,2001-01-14
Marguerite Gomes-Mendès,43.0,Crimes,Atteintes a la surete publique,2005-08-01
Marguerite Gomes-Mendès,43.0,Crimes,"Vols, recels, destructions",2005-12-21
Théodore-Alfred Fournier,66.0,Contraventions,Atteintes à la sûreté publique,1985-11-16
Théodore-Alfred Fournier,66.0,Contraventions,Ordre administratif et judiciaire,1988-09-10
Théodore-Alfred Fournier,66.0,Crimes,Coups et violences volontaires,1993-11-16
Théodore-Alfred Fournier,66.0,Contraventions,Circulation routière,2019-12-12
Théodore-Alfred Fournier,66.0,Crimes,"Vols, recels, destructions",1982-10-16
Théodore-Alfred Fournier,66.0,Crimes,Homicides volontaires,1979-08-13
Théodore-Alfred Fournier,66.0,Délits,Atteintes à la famille,2016-04-29
Zacharie Gillet,38.0,Délits,Transport,2006-09-16
Zacharie Gillet,38.0,Contraventions,Atteintes aux biens,2019-08-24
Zacharie Gillet,38.0,Délits,Vols - recels,2019-03-24
Zacharie Gillet,38.0,Délits,Transport,2017-04-07
Jacqueline Mary,48.0,Crimes,Atteintes a la surete publique,2009-05-09
Jacqueline Mary,48.0,Délits,Vols - recels,2012-07-10
Jacqueline Mary,48.0,Contraventions,Blessures involontaires,1995-09-13
Jacqueline Mary,48.0,Crimes,Atteintes a la surete publique,2000-02-17
Jacqueline Mary,48.0,Délits,Atteintes à l'environnement,2017-09-03
Jacqueline Mary,48.0,Crimes,Homicides volontaires,2007-02-27
Jacqueline Mary,48.0,Contraventions,Atteintes à la santé,2007-08-12
Jacqueline Mary,48.0,Contraventions,Infractions en matière de transport,1999-05-11
Rémy Bourgeois-Jean,60.0,Contraventions,Atteintes à la sûreté publique,2007-03-07
Rémy Bourgeois-Jean,60.0,Crimes,Atteintes a la surete publique,1995-02-17
Rémy Bourgeois-Jean,60.0,Crimes,Homicides volontaires,2011-03-07
Rémy Bourgeois-Jean,60.0,Délits,Transport,2007-11-14
Rémy Bourgeois-Jean,60.0,Délits,Législation sur les sociétés,1984-01-10
Rémy Bourgeois-Jean,60.0,Crimes,Coups et violences volontaires,1999-04-26
Léon Delahaye Le Potier,38.0,Contraventions,Travail et sécurité sociale,2004-01-03
Audrey de Lemaître,38.0,Délits,Atteintes à la famille,2012-07-01
Audrey de Lemaître,38.0,Contraventions,Atteintes à la santé,2015-07-09
Audrey de Lemaître,38.0,Délits,Transport,2022-10-13
Audrey de Lemaître,38.0,Contraventions,Infractions en matière de transport,2022-06-23
Audrey de Lemaître,38.0,Crimes,Atteintes a la surete publique,2019-04-05
Audrey de Lemaître,38.0,Crimes,Coups et violences volontaires,2014-12-15
Alain Lacombe,62.0,Délits,Homicides involontaires,1984-07-08
Alain Lacombe,62.0,Crimes,Atteintes a la surete publique,2005-07-09
Alain Lacombe,62.0,Crimes,Atteintes a la surete publique,1982-07-30
Alain Lacombe,62.0,Délits,Chèques,2002-01-10
Marguerite Seguin,77.0,Délits,Infractions militaires,2018-01-19
Nicolas Hardy,20.0,Délits,Escroqueries - abus de confiance,2022-02-24
Nicolas Hardy,20.0,Contraventions,Coups et violences volontaires,2021-08-10
Marie Thierry,81.0,Contraventions,Atteintes à l'ordre économique,2017-12-29
Marie Thierry,81.0,Crimes,"Vols, recels, destructions",2015-04-06
Marie Thierry,81.0,Contraventions,Circulation routière,2013-10-12
Isaac Le Pinto,82.0,Crimes,Homicides volontaires,2014-10-20
Isaac Le Pinto,82.0,Délits,Destructions - dégradations,2001-10-23
Isaac Le Pinto,82.0,Délits,Législation sur les sociétés,2008-12-15
Olivie Moreau,62.0,Crimes,"Vols, recels, destructions",1990-11-30
Martin Le Laporte,27.0,Crimes,Homicides volontaires,2015-05-18
Martin Le Laporte,27.0,Crimes,Coups et violences volontaires,2021-01-22
Martin Le Laporte,27.0,Crimes,"Vols, recels, destructions",2018-12-21
Martin Le Laporte,27.0,Délits,Homicides involontaires,2015-03-14
Martin Le Laporte,27.0,Délits,Vols - recels,2017-03-26
Martin Le Laporte,27.0,Contraventions,Circulation routière,2019-01-05
Bertrand Le Roux,64.0,Délits,Chèques,2014-04-17
Bertrand Le Roux,64.0,Délits,Blessures involontaires,2000-05-05
Nath Léger,59.0,Crimes,Homicides volontaires,2000-06-25
Nath Léger,59.0,Contraventions,Atteintes à l'ordre économique,2021-08-16
Nath Léger,59.0,Contraventions,Atteintes à l'environnement,2008-11-29
Nath Léger,59.0,Crimes,Coups et violences volontaires,2002-04-20
Nath Léger,59.0,Crimes,Atteintes a la surete publique,1992-11-25
Nath Léger,59.0,Crimes,Coups et violences volontaires,1986-01-08
Nath Léger,59.0,Délits,Fraudes et contrefaçons,1985-01-26
Nath Léger,59.0,Contraventions,Autres atteintes aux personnes,1983-08-05
Denis Bodin,77.0,Crimes,Coups et violences volontaires,1981-01-13
Gilbert Gérard,71.0,Contraventions,Atteintes à l'ordre économique,2022-03-19
Olivie Guillou,74.0,Contraventions,Autres atteintes aux personnes,1983-01-08
Thierry Leclercq de la Dubois,40.0,Contraventions,Circulation routière,2007-02-11
Gilbert Mallet,76.0,Crimes,Homicides volontaires,1967-11-30
Isaac Gomes,70.0,Crimes,Coups et violences volontaires,1985-12-24
Isaac Gomes,70.0,Délits,Travail et sécurité sociale,2022-12-05
Isaac Gomes,70.0,Délits,Atteintes à la famille,2018-07-29
Frédéric Rodrigues,40.0,Délits,Travail et sécurité sociale,2009-01-04
Olivie de la Le Gall,57.0,Contraventions,Atteintes à la sûreté publique,2010-05-06
Olivie de la Le Gall,57.0,Contraventions,Circulation routière,2022-12-18
Olivie de la Le Gall,57.0,Crimes,Homicides volontaires,1996-04-12
Olivie de la Le Gall,57.0,Crimes,Homicides volontaires,1995-10-10
Olivie de la Le Gall,57.0,Contraventions,Atteintes à la santé,2013-01-04
Olivie de la Le Gall,57.0,Contraventions,Blessures involontaires,2000-03-01
Olivie de la Le Gall,57.0,Délits,"Législation sur la concurrence, les prix",2017-02-20
Olivie de la Le Gall,57.0,Contraventions,Infractions en matière de transport,2014-04-09
Éléonore Delmas,51.0,Crimes,Coups et violences volontaires,1997-11-27
Éléonore Delmas,51.0,Contraventions,Atteintes aux moeurs,2007-06-29
Éléonore Delmas,51.0,Crimes,Coups et violences volontaires,2022-08-09
Éléonore Delmas,51.0,Délits,Atteintes aux finances publiques,2001-01-23
Éléonore Delmas,51.0,Contraventions,Atteintes à l'ordre économique,1998-09-16
Vincent Mathieu,21.0,Contraventions,Coups et violences volontaires,2022-10-03
Vincent Mathieu,21.0,Crimes,Homicides volontaires,2022-09-05
Vincent Mathieu,21.0,Délits,Ordre administratif et judiciaire,2022-07-17
Vincent Mathieu,21.0,Contraventions,Infractions en matière de transport,2020-07-28
Pierre du Fernandez,91.0,Contraventions,Autres atteintes aux personnes,2015-05-16
Pierre du Fernandez,91.0,Délits,Police des étrangers - nomades,1967-02-02
Pierre du Fernandez,91.0,Crimes,"Vols, recels, destructions",2005-01-07
Roland de la Mahe,77.0,Crimes,Atteintes a la surete publique,1987-04-10
Julie de la Lucas,54.0,Délits,Travail et sécurité sociale,2021-03-02
Julie de la Lucas,54.0,Crimes,"Vols, recels, destructions",2021-07-15
Julie de la Lucas,54.0,Crimes,"Vols, recels, destructions",2011-07-23
Julie de la Lucas,54.0,Délits,Chèques,1992-03-06
Bernard Vasseur,51.0,Contraventions,Atteintes à la sûreté publique,2013-07-20
Hugues Pires,22.0,Contraventions,Circulation routière,2020-07-14
Hugues Pires,22.0,Crimes,Atteintes a la surete publique,2021-12-12
Hugues Pires,22.0,Contraventions,Atteintes à la santé,2021-12-22
Marianne Berthelot,24.0,Contraventions,Blessures involontaires,2022-02-23
Marianne Berthelot,24.0,Crimes,Homicides volontaires,2018-08-15
Thibaut de la Petitjean,59.0,Contraventions,Autres atteintes aux personnes,2003-04-02
Thibaut de la Petitjean,59.0,Délits,Fraudes et contrefaçons,1987-07-07
Thibaut de la Petitjean,59.0,Crimes,"Vols, recels, destructions",2022-09-14
Thibaut de la Petitjean,59.0,Crimes,Atteintes a la surete publique,2003-01-10
Thibaut de la Petitjean,59.0,Délits,Ordre administratif et judiciaire,2009-01-11
Thibaut de la Petitjean,59.0,Crimes,Coups et violences volontaires,1994-02-28
Virginie Couturier,35.0,Contraventions,Atteintes aux biens,2011-04-21
Virginie Couturier,35.0,Crimes,Atteintes a la surete publique,2013-04-29
Jean Joseph,35.0,Délits,Autres atteintes à la sûreté publique,2021-11-08
Jean Joseph,35.0,Contraventions,Travail et sécurité sociale,2009-05-23
Jean Joseph,35.0,Crimes,Coups et violences volontaires,2017-08-27
Jean Joseph,35.0,Délits,Faux en écriture publique ou privée,2009-04-05
Jean Joseph,35.0,Délits,Vols - recels,2020-07-26
Jean Joseph,35.0,Délits,Législation sur les sociétés,2022-05-04
Jean Joseph,35.0,Délits,"Législation sur la concurrence, les prix",2016-02-15
Jean Joseph,35.0,Délits,Chèques,2016-09-26
Jean Joseph,35.0,Délits,Vols - recels,2008-05-16
Jean Joseph,35.0,Crimes,Homicides volontaires,2015-12-16
Pauline Reynaud,87.0,Délits,Transport,2004-08-21
Richard Maréchal de Gros,88.0,Délits,Fraudes et contrefaçons,1962-11-24
Stéphane Lombard,64.0,Contraventions,Atteintes à l'environnement,2008-11-24
Stéphane Lombard,64.0,Crimes,Coups et violences volontaires,1999-03-06
Stéphane Lombard,64.0,Délits,Infractions militaires,2009-06-05
Stéphane Lombard,64.0,Crimes,Coups et violences volontaires,2007-02-25
Isaac Rolland,71.0,Délits,Destructions - dégradations,2008-09-06
Isaac Rolland,71.0,Délits,Atteintes à la famille,1988-06-13
Pierre-Roger Lopes,54.0,Contraventions,Coups et violences volontaires,2020-05-16
Pierre-Roger Lopes,54.0,Crimes,"Vols, recels, destructions",1990-01-28
Pierre-Roger Lopes,54.0,Crimes,Coups et violences volontaires,2011-07-12
Pierre-Roger Lopes,54.0,Contraventions,Coups et violences volontaires,1987-03-04
Pierre-Roger Lopes,54.0,Délits,Ordre administratif et judiciaire,1988-08-24
Pierre-Roger Lopes,54.0,Délits,Circulation routière,2008-01-21
Pierre-Roger Lopes,54.0,Délits,Chèques,2002-05-24
Pierre-Roger Lopes,54.0,Crimes,Homicides volontaires,1994-05-03
Raymond de la Petit,69.0,Crimes,"Vols, recels, destructions",1991-03-12
Raymond de la Petit,69.0,Crimes,"Vols, recels, destructions",1985-11-29
Raymond de la Petit,69.0,Délits,Autres atteintes à la personne,2015-07-31
Raymond de la Petit,69.0,Contraventions,Blessures involontaires,2020-01-03
Raymond de la Petit,69.0,Délits,Fraudes et contrefaçons,1988-12-30
Raymond de la Petit,69.0,Crimes,Coups et violences volontaires,1983-11-26
Stéphane Lévy,41.0,Crimes,"Vols, recels, destructions",2007-02-14
Stéphane Lévy,41.0,Délits,Escroqueries - abus de confiance,2014-07-08
Louise Bertin,39.0,Crimes,Homicides volontaires,2019-04-12
Louise Bertin,39.0,Crimes,Atteintes a la surete publique,2015-06-25
Louise Bertin,39.0,Crimes,Coups et violences volontaires,2013-07-12
Arthur Didier,23.0,Crimes,Coups et violences volontaires,2021-05-11
Sabine Rodrigues,34.0,Délits,Coups et violences volontaires,2022-03-08
Sabine Rodrigues,34.0,Crimes,Homicides volontaires,2014-01-07
Sabine Rodrigues,34.0,Délits,Infractions militaires,2020-09-13
Sabine Rodrigues,34.0,Délits,Ordre administratif et judiciaire,2022-07-15
Sabine Rodrigues,34.0,Crimes,"Vols, recels, destructions",2017-02-15
Sabine Rodrigues,34.0,Contraventions,Blessures involontaires,2010-12-30
Sabine Rodrigues,34.0,Crimes,Atteintes a la surete publique,2012-05-07
Sabine Rodrigues,34.0,Contraventions,Atteintes à l'ordre économique,2018-04-23
Sabine Rodrigues,34.0,Délits,Atteintes aux moeurs,2018-11-16
Sabine Rodrigues,34.0,Contraventions,Atteintes à la santé,2019-02-14
Emmanuel-René Coulon,90.0,Crimes,Atteintes a la surete publique,2005-02-21
Eugène Michel-Martin,73.0,Crimes,"Vols, recels, destructions",2009-05-08
Eugène Michel-Martin,73.0,Délits,Coups et violences volontaires,2010-07-12
Océane Boutin,89.0,Contraventions,Ordre administratif et judiciaire,2000-05-14
Timothée Martin,20.0,Crimes,"Vols, recels, destructions",2021-07-28
Lucy-Suzanne Carpentier,24.0,Contraventions,Ordre administratif et judiciaire,2019-09-19
Lucy-Suzanne Carpentier,24.0,Contraventions,Atteintes aux moeurs,2019-07-19
Lucy-Suzanne Carpentier,24.0,Contraventions,Autres atteintes aux personnes,2021-07-17
Lucy-Suzanne Carpentier,24.0,Délits,Coups et violences volontaires,2022-06-16
Lucy-Suzanne Carpentier,24.0,Délits,Destructions - dégradations,2019-10-18
Yves Vincent,63.0,Délits,Escroqueries - abus de confiance,2012-11-12
Yves Vincent,63.0,Délits,Infractions militaires,1982-02-07
Claire Gillet,64.0,Crimes,Coups et violences volontaires,1995-03-17
Honoré Monnier de la Hubert,27.0,Contraventions,Atteintes aux moeurs,2017-04-22
Honoré Monnier de la Hubert,27.0,Crimes,Atteintes a la surete publique,2018-02-02
Honoré Monnier de la Hubert,27.0,Crimes,Homicides volontaires,2021-04-27
Honoré Monnier de la Hubert,27.0,Contraventions,Atteintes à la sûreté publique,2014-02-27
Honoré Monnier de la Hubert,27.0,Délits,Fraudes et contrefaçons,2022-09-06
Honoré Monnier de la Hubert,27.0,Contraventions,Infractions en matière de transport,2019-06-22
Honoré Monnier de la Hubert,27.0,Crimes,Homicides volontaires,2020-08-13
Honoré Monnier de la Hubert,27.0,Contraventions,Ordre administratif et judiciaire,2019-10-09
Honoré Monnier de la Hubert,27.0,Délits,Atteintes aux finances publiques,2019-04-03
Honoré Monnier de la Hubert,27.0,Délits,Circulation routière,2017-12-30
Éric Adam,35.0,Contraventions,Infractions en matière de transport,2015-09-26
Éric Adam,35.0,Contraventions,Atteintes aux biens,2015-04-09
Éric Adam,35.0,Contraventions,Travail et sécurité sociale,2012-02-19
Adrien Thomas-Thibault,20.0,Crimes,"Vols, recels, destructions",2022-03-04
Éléonore-Hélène Dubois,60.0,Contraventions,Atteintes à l'environnement,2000-01-21
Éléonore-Hélène Dubois,60.0,Crimes,"Vols, recels, destructions",1998-12-16
Guy Allain,30.0,Délits,Atteintes aux moeurs,2011-08-02
Guy Allain,30.0,Crimes,Coups et violences volontaires,2017-03-07
Guy Allain,30.0,Contraventions,Atteintes aux moeurs,2018-01-09
Guy Allain,30.0,Crimes,Coups et violences volontaires,2019-08-19
Guy Allain,30.0,Crimes,Atteintes a la surete publique,2020-03-16
Guy Allain,30.0,Contraventions,Ordre administratif et judiciaire,2022-01-11
Diane-Françoise Raynaud,27.0,Crimes,"Vols, recels, destructions",2014-01-30
Diane-Françoise Raynaud,27.0,Contraventions,Atteintes aux moeurs,2016-10-19
Diane-Françoise Raynaud,27.0,Délits,Escroqueries - abus de confiance,2016-01-09
Odette Gilles de la Collet,50.0,Crimes,"Vols, recels, destructions",2007-12-22
Odette Gilles de la Collet,50.0,Crimes,Coups et violences volontaires,2021-10-03
Odette Gilles de la Collet,50.0,Crimes,"Vols, recels, destructions",2010-11-03
Odette Gilles de la Collet,50.0,Délits,Police des étrangers - nomades,2018-04-14
Rémy Bousquet,80.0,Contraventions,Atteintes à l'ordre économique,1965-02-26
Rémy Bousquet,80.0,Délits,Atteintes aux finances publiques,1977-08-01
Rémy Bousquet,80.0,Contraventions,Infractions en matière de transport,2013-07-16
Isaac-Étienne Perez,66.0,Crimes,Coups et violences volontaires,2009-04-26
Isaac-Étienne Perez,66.0,Délits,Atteintes à la famille,1985-01-21
Thérèse-Margaux Bruneau,69.0,Délits,Infractions sur les stupéfiants,2008-07-08
Claude Lamy-Cohen,47.0,Contraventions,Atteintes aux moeurs,2018-02-13
Claude Lamy-Cohen,47.0,Contraventions,Atteintes à la santé,2003-01-11
Claude Lamy-Cohen,47.0,Contraventions,Ordre administratif et judiciaire,2007-05-12
Claude Lamy-Cohen,47.0,Contraventions,Ordre administratif et judiciaire,2005-07-17
Claude Lamy-Cohen,47.0,Contraventions,Infractions en matière de transport,1997-10-31
Marine-Clémence Ferreira,32.0,Crimes,Homicides volontaires,2009-08-10
Odette-Brigitte Clément,39.0,Crimes,Homicides volontaires,2004-03-26
Odette-Brigitte Clément,39.0,Contraventions,Coups et violences volontaires,2020-07-26
Odette-Brigitte Clément,39.0,Crimes,"Vols, recels, destructions",2015-07-16
Odette-Brigitte Clément,39.0,Crimes,Coups et violences volontaires,2002-10-03
Odette-Brigitte Clément,39.0,Délits,Chèques,2014-02-07
Odette-Brigitte Clément,39.0,Délits,Coups et violences volontaires,2004-03-01
Odette-Brigitte Clément,39.0,Délits,Fraudes et contrefaçons,2008-07-07
Odette-Brigitte Clément,39.0,Contraventions,Atteintes à la santé,2003-01-04
Odette-Brigitte Clément,39.0,Contraventions,Atteintes à la santé,2011-01-04
Odette-Brigitte Clément,39.0,Délits,Escroqueries - abus de confiance,2013-08-18
Guy Riou,75.0,Contraventions,Travail et sécurité sociale,1983-02-24
Guy Riou,75.0,Délits,Homicides involontaires,2003-01-30
Guy Riou,75.0,Contraventions,Ordre administratif et judiciaire,1993-10-11
Maggie Costa,41.0,Délits,Faux en écriture publique ou privée,2016-06-15
Maggie Costa,41.0,Crimes,Homicides volontaires,2020-11-14
Pierre Jean,51.0,Délits,Transport,1993-04-12
Pierre Jean,51.0,Contraventions,Atteintes à l'environnement,2018-06-13
Pierre Jean,51.0,Contraventions,Coups et violences volontaires,1996-01-25
Pierre Jean,51.0,Crimes,"Vols, recels, destructions",2012-01-14
Jean Michaud,70.0,Contraventions,Circulation routière,2013-02-24
Jean Michaud,70.0,Contraventions,Atteintes aux moeurs,2010-07-23
Jean Michaud,70.0,Contraventions,Circulation routière,2000-02-22
Vincent Raymond,34.0,Délits,Commerce et transport d'armes,2009-02-09
Vincent Raymond,34.0,Délits,Autres atteintes à la sûreté publique,2021-09-16
Vincent Raymond,34.0,Délits,Atteintes aux moeurs,2010-11-03
Vincent Raymond,34.0,Délits,Autres atteintes à la sûreté publique,2016-10-29
Vincent Raymond,34.0,Délits,Faux en écriture publique ou privée,2018-01-28
Marthe Pruvost,61.0,Contraventions,Ordre administratif et judiciaire,2000-03-14
Thierry Delattre-Simon,71.0,Contraventions,Atteintes aux moeurs,2016-01-17
Thierry Delattre-Simon,71.0,Délits,Homicides involontaires,2014-09-14
Thierry Delattre-Simon,71.0,Délits,Ordre administratif et judiciaire,2013-12-20
Roger du Dumont,76.0,Crimes,"Vols, recels, destructions",2005-02-10
Roger du Dumont,76.0,Délits,Chèques,1969-04-19
Roger du Dumont,76.0,Délits,Escroqueries - abus de confiance,1971-02-28
Gérard-Xavier Baron,38.0,Contraventions,Atteintes à la santé,2021-02-15
Gérard-Xavier Baron,38.0,Délits,Autres infractions à la santé publique,2022-01-24
Nathalie Pages,28.0,Contraventions,Atteintes aux moeurs,2017-05-16
Nathalie Pages,28.0,Crimes,Atteintes a la surete publique,2021-04-11
Nathalie Pages,28.0,Délits,"Législation sur la concurrence, les prix",2016-01-20
Yves-Alexandre Robert,56.0,Contraventions,Atteintes à l'environnement,1990-05-13
Yves-Alexandre Robert,56.0,Crimes,Atteintes a la surete publique,2022-01-14
Yves-Alexandre Robert,56.0,Crimes,Homicides volontaires,1995-01-09
Yves-Alexandre Robert,56.0,Contraventions,Atteintes à la sûreté publique,1999-12-03
Yves-Alexandre Robert,56.0,Délits,Autres infractions à la santé publique,2012-10-18
Étienne Lombard-Imbert,35.0,Délits,Chèques,2012-04-09
Étienne Lombard-Imbert,35.0,Délits,Autres atteintes à la personne,2012-08-19
Étienne Lombard-Imbert,35.0,Crimes,"Vols, recels, destructions",2017-01-03
Alfred Gomes,77.0,Contraventions,Circulation routière,1995-10-17
Alfred Gomes,77.0,Délits,Atteintes aux moeurs,1993-04-03
Alfred Gomes,77.0,Crimes,Coups et violences volontaires,1979-02-03
Antoine Bourdon de Auger,83.0,Délits,Commerce et transport d'armes,1970-09-23
Jeanne Muller,44.0,Délits,Homicides involontaires,2017-03-21
Martin Munoz Le Fischer,81.0,Contraventions,Atteintes aux moeurs,1987-05-10
Martin Munoz Le Fischer,81.0,Crimes,Homicides volontaires,1976-07-06
Augustin Hamon,78.0,Délits,Vols - recels,2008-07-26
Augustin Hamon,78.0,Crimes,Atteintes a la surete publique,1982-12-07
Benoît Camus,40.0,Crimes,Atteintes a la surete publique,2008-09-30
Benoît Camus,40.0,Crimes,"Vols, recels, destructions",2006-11-29
Benoît Camus,40.0,Délits,Ordre administratif et judiciaire,2006-05-10
Benoît Camus,40.0,Crimes,"Vols, recels, destructions",2021-04-09
Benoît Camus,40.0,Contraventions,Blessures involontaires,2005-07-11
Benoît Camus,40.0,Délits,Atteintes à l'environnement,2002-07-05
Benoît Camus,40.0,Contraventions,Blessures involontaires,2009-09-12
Jeanne Marion,29.0,Contraventions,Travail et sécurité sociale,2012-07-24
Jeanne Marion,29.0,Contraventions,Atteintes aux biens,2015-05-17
Jeanne Marion,29.0,Contraventions,Atteintes à la santé,2013-11-15
Jeanne Marion,29.0,Contraventions,Atteintes à l'ordre économique,2019-07-16
Jeanne Marion,29.0,Crimes,Homicides volontaires,2012-09-22
Jeanne Marion,29.0,Délits,Circulation routière,2020-03-14
Robert Huet-Lacombe,60.0,Délits,Autres infractions à la santé publique,2002-01-27
Robert Huet-Lacombe,60.0,Délits,Fraudes et contrefaçons,2005-03-19
Robert Huet-Lacombe,60.0,Crimes,Homicides volontaires,1984-09-13
Astrid Joseph de Regnier,28.0,Contraventions,Blessures involontaires,2020-02-18
Astrid Joseph de Regnier,28.0,Crimes,Homicides volontaires,2018-10-23
Astrid Joseph de Regnier,28.0,Crimes,Coups et violences volontaires,2014-02-22
Astrid Joseph de Regnier,28.0,Crimes,Atteintes a la surete publique,2018-01-27
Astrid Joseph de Regnier,28.0,Crimes,Atteintes a la surete publique,2014-02-22
Astrid Joseph de Regnier,28.0,Contraventions,Coups et violences volontaires,2019-12-17
Astrid Joseph de Regnier,28.0,Crimes,Homicides volontaires,2016-08-01
Raymond Rossi,86.0,Délits,Infractions militaires,2010-05-13
Jacqueline Léger,86.0,Crimes,Homicides volontaires,2010-10-24
Jacqueline Léger,86.0,Crimes,Atteintes a la surete publique,1965-10-13
Jacqueline Léger,86.0,Contraventions,Atteintes aux biens,1988-09-12
Virginie Le Gall,88.0,Délits,Vols - recels,2001-09-04
Frédéric Jacques,33.0,Crimes,"Vols, recels, destructions",2018-07-26
Stéphane-Roland Boyer,46.0,Crimes,Atteintes a la surete publique,2010-09-23
Stéphane-Roland Boyer,46.0,Délits,Infractions sur les stupéfiants,2020-06-07
Stéphane-Roland Boyer,46.0,Contraventions,Blessures involontaires,2016-04-13
Stéphane-Roland Boyer,46.0,Contraventions,Atteintes à l'ordre économique,2007-03-16
Stéphane-Roland Boyer,46.0,Contraventions,Autres atteintes aux personnes,2015-03-09
Stéphane-Roland Boyer,46.0,Contraventions,Atteintes aux moeurs,1995-03-20
Stéphane-Roland Boyer,46.0,Contraventions,Infractions en matière de transport,2009-07-05
Stéphane-Roland Boyer,46.0,Contraventions,Atteintes à la sûreté publique,2009-08-05
Stéphane-Roland Boyer,46.0,Contraventions,Coups et violences volontaires,2022-11-20
Stéphane-Roland Boyer,46.0,Crimes,Homicides volontaires,2007-12-12
Victor Guillou,35.0,Crimes,Coups et violences volontaires,2018-06-26
Victor Guillou,35.0,Délits,Circulation routière,2010-07-01
Victor Guillou,35.0,Contraventions,Blessures involontaires,2008-10-12
Victor Guillou,35.0,Contraventions,Autres atteintes aux personnes,2018-12-24
Victor Guillou,35.0,Crimes,Atteintes a la surete publique,2018-12-22
Camille Le Aubry,39.0,Délits,Atteintes à la famille,2011-04-26
Camille Le Aubry,39.0,Délits,Escroqueries - abus de confiance,2017-10-21
Camille Le Aubry,39.0,Crimes,Atteintes a la surete publique,2021-05-25
Suzanne-Joséphine Joubert,21.0,Crimes,"Vols, recels, destructions",2021-03-05
Vincent Vaillant,82.0,Crimes,"Vols, recels, destructions",1997-07-11
Vincent Vaillant,82.0,Crimes,Atteintes a la surete publique,1959-10-30
Vincent Vaillant,82.0,Crimes,Coups et violences volontaires,2008-03-02
Bernard Gosselin Le Arnaud,42.0,Délits,Autres atteintes à la sûreté publique,2010-11-06
Bernard Gosselin Le Arnaud,42.0,Délits,Atteintes aux finances publiques,2003-08-07
Bernard Gosselin Le Arnaud,42.0,Délits,Atteintes aux finances publiques,2013-08-11
Hugues Dufour-Lefebvre,85.0,Délits,Circulation routière,1957-09-15
Hugues Dufour-Lefebvre,85.0,Crimes,Coups et violences volontaires,1956-06-19
Louise Valette,59.0,Crimes,Coups et violences volontaires,2017-03-07
Louise Valette,59.0,Crimes,Homicides volontaires,1988-01-05
Louise Valette,59.0,Contraventions,Circulation routière,2013-12-29
Louise Valette,59.0,Délits,Ordre administratif et judiciaire,2003-08-30
Louise Valette,59.0,Crimes,"Vols, recels, destructions",2015-12-27
Renée David,70.0,Crimes,Homicides volontaires,2006-01-01
Renée David,70.0,Délits,Autres atteintes à la sûreté publique,1978-06-23
Élisabeth Perrin,47.0,Crimes,"Vols, recels, destructions",2013-12-04
Aimée Louis,92.0,Crimes,Homicides volontaires,1975-09-30
Aimée Louis,92.0,Délits,Commerce et transport d'armes,1988-12-16
Aimée Louis,92.0,Crimes,"Vols, recels, destructions",1955-10-08
Gabriel de Pineau,83.0,Contraventions,Atteintes à la santé,1966-08-17
Gabriel de Pineau,83.0,Crimes,Coups et violences volontaires,1981-11-26
Benoît-Noël Letellier,24.0,Délits,Circulation routière,2018-04-20
Benoît-Noël Letellier,24.0,Crimes,Homicides volontaires,2020-02-07
Benoît-Noël Letellier,24.0,Contraventions,Ordre administratif et judiciaire,2022-07-24
Benoît-Noël Letellier,24.0,Crimes,Homicides volontaires,2021-07-14
Pauline Richard,81.0,Contraventions,Travail et sécurité sociale,1980-08-07
Pauline Richard,81.0,Contraventions,Atteintes aux biens,1977-02-06
Vincent Leclercq,57.0,Contraventions,Circulation routière,2008-11-17
Vincent Leclercq,57.0,Crimes,"Vols, recels, destructions",2007-12-29
Vincent Leclercq,57.0,Contraventions,Ordre administratif et judiciaire,1994-08-06
Vincent Leclercq,57.0,Contraventions,Travail et sécurité sociale,1998-07-01
Vincent Leclercq,57.0,Délits,Atteintes aux finances publiques,1989-03-14
