Nom,Date_de_naissance,Sexe,Adresse,E-mail,Numéro_de_téléphone,Job
Louis de la Imbert,2003-02-24,Masculin,"ATLANTIQUE,SO-AVA,VEKKY,SOMAÏ carré 6895",louisdelaimbert@gmail.com,+22999146697,architecte d'intérieur
Claire Carre,2011-10-20,Féminin,"ZOU,BOHICON,BOHICON I,DJOGNANGBO carré 6667",,,
Marianne Chrétien,1980-01-06,Masculin,"ATLANTIQUE,SO-AVA,VEKKY,HOUNHOUE carré 1576",mariannechrétien@gmail.com,+22994191796,urbaniste
Thibaut de la Roy,1975-01-12,Masculin,"DONGA,DJOUGOU,ONKLOU,BAKOU carré 1776",thibautdelaroy@gmail.com,+22954583867,ingénieur analogicien analogicienne
Simone du Allard,1930-07-01,Masculin,"PLATEAU,POBE,TOWE,IGA carré 2173",simoneduallard@gmail.com,+22965396399,consultant en management de l'innovation
Thibault de la Martins,1944-03-04,Masculin,"COLLINES,GLAZOUE,THIO,AKOMYAN carré 0055",thibaultdelamartins@gmail.com,+22990662952,domoticien
Adrien Richard de la Mahe,1983-01-16,Féminin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DOWA  ALIOGBOGO carré 6896",adrienricharddelamahe@gmail.com,+22996271611,pédologue
Roger Ferrand du Robin,2018-05-24,Masculin,"ATLANTIQUE,ALLADA,SEKOU,SEHE carré 7304",,,
Océane Renard,1958-08-16,Masculin,"BORGOU,PARAKOU,3EME ARRONDISSEMENT,GUEMA carré 9490",océanerenard@gmail.com,+22995169588,ingénieur environnement
Tristan Gomez,2022-02-18,Masculin,"ATACORA,BOUKOUMBE,BOUKOUMBE,KOUTCHATA carré 8753",,,
Sylvie Michaud,2022-09-03,Masculin,"ATLANTIQUE,SO-AVA,AHOMEY-LOKPO,ASSEDOKPA carré 1934",,,
Xavier Huet,1999-10-08,Masculin,"PLATEAU,SAKETE,AGUIDI,MODOGAN carré 9997",xavierhuet@gmail.com,+22994946937,expert-comptable
Anouk Grégoire,1984-11-17,Féminin,"ZOU,OUINHI,SAGON,DOLIVI carré 1976",anoukgrégoire@gmail.com,+22998575940,chef de produit touristique
Benoît-Robert Mathieu,1960-05-21,Féminin,"BORGOU,KALALE,KALALE,DJEGA-KALALE carré 1168",benoît-robertmathieu@gmail.com,+22969559887,chef de mission humanitaire
Stéphane-Vincent Morvan,2017-01-24,Masculin,"OUEME,AVRANKOU,KOUTI,GBAGLA-DASSA carré 2905",,,
Édouard Hardy,2011-06-24,Masculin,"ZOU,DJIDJA,DJIDJA CENTRE,AGONHOHOUN carré 1491",,,
Jeanne Bigot Le Aubert,1977-10-04,Masculin,"ZOU,ZAGNANADO,ZAGNANADO CENTRE,DOGA-ALIKON carré 7987",jeannebigotleaubert@gmail.com,+22998278878,hôtesse de l'air
Anastasie-Anastasie Petitjean,2003-01-24,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,OUEZE carré 2710",anastasie-anastasiepetitjean@gmail.com,+22952920301,juge des enfants
Jules Lemaire,1978-01-05,Féminin,"ATACORA,KOUANDE,GUILMARO,KPIKIRE KOKA carré 1347",juleslemaire@gmail.com,+22968942773,auxiliaire spécialisé vétérinaire
Geneviève Pichon-Michel,1984-01-16,Masculin,"DONGA,DJOUGOU,DJOUGOU II,KAKABOUNOU-BERI carré 5875",genevièvepichon-michel@gmail.com,+22964763740,technicien réalisateur réalisatrice radio
Maurice Gomez,1947-09-08,Masculin,"ATACORA,BOUKOUMBE,BOUKOUMBE,KOUNADOGOU carré 5212",mauricegomez@gmail.com,+22968779299,sommelier
Jacques-Alfred Martins,2001-04-27,Masculin,"PLATEAU,KETOU,IDIGNY,ILLADJI carré 7032",jacques-alfredmartins@gmail.com,+22951681144,technicien biologiste
Margot Barbe,1981-02-13,Féminin,"BORGOU,TCHAOUROU,TCHAOUROU,KASSOUALA carré 7302",margotbarbe@gmail.com,+22968106744,orfèvre
Océane Louis,1999-04-17,Masculin,"ZOU,OUINHI,OUINHI CENTRE,AHICON carré 8062",océanelouis@gmail.com,+22956095070,secrétaire médical
Élise Mace-Dupuis,1993-11-25,Masculin,"ALIBORI,GOGOUNOU,WARA,WARA carré 6659",élisemace-dupuis@gmail.com,+22965546144,avocat
Élisabeth Blot-Bruneau,1985-11-26,Féminin,"MONO,BOPA,BOPA,TOHONOU carré 6537",élisabethblot-bruneau@gmail.com,+22995640193,boucher
Thibaut Vasseur,1982-08-06,Masculin,"ALIBORI,KANDI,ANGARADEBOU,DOGBAN carré 5831",thibautvasseur@gmail.com,+22957025262,responsable assurance qualité
Alexandria Caron,1975-03-31,Masculin,"PLATEAU,IFANGNI,BANIGBE,AKADJA carré 3491",alexandriacaron@gmail.com,+22959912619,ajusteur-monteur
Sabine Perret,1947-11-05,Masculin,"OUEME,AVRANKOU,ATCHOUKPA,ZOUNGUE carré 6704",sabineperret@gmail.com,+22997125308,photographe
Margaret-Alix Bouvet,1990-01-25,Masculin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AGLA-LES PYLONES carré 0339",margaret-alixbouvet@gmail.com,+22968502802,professeur de mathématiques ou de physique-chimie
Nicolas Lecomte,1975-01-29,Féminin,"ZOU,ABOMEY,DJEGBE,DJEGBE carré 2253",nicolaslecomte@gmail.com,+22956698065,souffleur de verre
Michelle Rivière,1997-11-07,Féminin,"OUEME,BONOU,HOUNVIGUE,ADIDO carré 1052",michellerivière@gmail.com,+22964130501,masseur
Jules-Noël Giraud,1961-08-03,Masculin,"ATLANTIQUE,OUIDAH,OUIDAH I,SOGBADJI carré 4773",jules-noëlgiraud@gmail.com,+22997365307,orfèvre
Denise-Sabine Marion,1942-04-06,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DJLADO carré 2453",denise-sabinemarion@gmail.com,+22999026477,maréchal-ferrant
Frédéric Weber,2000-04-30,Masculin,"OUEME,SEME-PODJI,DJEREGBE,HOUINTA carré 4584",frédéricweber@gmail.com,+22962147416,secrétaire administratif
Caroline Carre,1982-05-31,Féminin,"LITTORAL,COTONOU,12EME ARRONDISSEMENT,CADJEHOUN KPOTA carré 0368",carolinecarre@gmail.com,+22964659957,ingénieur de maintenance industrielle
Céline Léger,1991-01-07,Masculin,"PLATEAU,IFANGNI,BANIGBE,HEGO carré 3667",célineléger@gmail.com,+22968384868,régisseur de spectacles
Margaux Le Blanchet,2021-11-03,Masculin,"ZOU,BOHICON,SACLO,SACLO-ALIKPA carré 1688",,,
Margot Julien,1931-07-08,Masculin,"BORGOU,BEMBEREKE,BOUANRI,SISSIGOUROU carré 5442",margotjulien@gmail.com,+22965969840,mécanicien-réparateur en matériel agricole
Michèle Becker,1991-01-11,Masculin,"LITTORAL,COTONOU,12EME ARRONDISSEMENT,AKOGBATO carré 7854",michèlebecker@gmail.com,+22957279832,ingénieur en électronique numérique
Christiane-Alex Neveu,1946-01-21,Féminin,"OUEME,ADJOHOUN,AZOWLISSE,KPODEDJI carré 6751",christiane-alexneveu@gmail.com,+22998507389,cordiste
Édith Vaillant de la Dubois,1939-02-07,Masculin,"ZOU,AGBANGNIZOUN,ZOUNGOUNDO,DODJI carré 0438",édithvaillantdeladubois@gmail.com,+22954703143,statisticien
Nicolas Martinez,1976-06-16,Masculin,"OUEME,AVRANKOU,OUANHO,GBAKPO-ACLE carré 6345",nicolasmartinez@gmail.com,+22961607965,conseiller sportif sportive en salle de remise en forme
Philippe Philippe,1977-06-29,Féminin,"COLLINES,BANTE,BANTE,GBEGAMEY carré 1437",philippephilippe@gmail.com,+22991743177,journaliste reporter d'images
Gérard Cordier,1947-05-10,Masculin,"BORGOU,NIKKI,OUENOU,TCHICANDOU carré 6790",gérardcordier@gmail.com,+22956263871,magistrat
Josette Boucher de la Hoarau,1948-01-21,Féminin,"OUEME,AGUEGUES,ZOUNGAME,WOUNDEKOME carré 7682",josetteboucherdelahoarau@gmail.com,+22969762957,chef de projet packaging
Olivier-Jules Sanchez,1973-02-06,Masculin,"BORGOU,NIKKI,NIKKI,YAKO-KPAROU carré 7434",olivier-julessanchez@gmail.com,+22967811710,gestionnaire de contrats d'assurance
Patricia du Gomes,1959-11-11,Masculin,"MONO,HOUEYOGBE,DAHE,DJIBIO carré 1442",patriciadugomes@gmail.com,+22994920150,psychomotricien
Henriette-Philippine Faivre,1995-10-30,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,DJEKPOTA carré 8684",henriette-philippinefaivre@gmail.com,+22996565902,pâtissier
Roland Le Blanchet,1953-08-20,Masculin,"OUEME,AVRANKOU,DJOMON,AFFANDJI-TANME carré 5404",rolandleblanchet@gmail.com,+22961744561,serrurier-métallier
Timothée Leleu,1992-07-22,Féminin,"ATLANTIQUE,OUIDAH,PAHOU,PAHOU CENTRE carré 5654",timothéeleleu@gmail.com,+22998326425,géotechnicien
René-Laurent Schneider,1932-05-01,Masculin,"OUEME,SEME-PODJI,EKPE,DJEFFA GLEGBONOU carré 8374",rené-laurentschneider@gmail.com,+22962451836,responsable du service après-vente
Michel Dumont,1998-08-14,Masculin,"OUEME,DANGBO,ZOUNGUE,YOKON carré 2287",micheldumont@gmail.com,+22996782800,ascensoriste
Antoine Carre,2004-08-18,Féminin,"ALIBORI,GOGOUNOU,SORI,TCHOUKOUNGA carré 8291",antoinecarre@gmail.com,+22964564832,cordonnier
Emmanuel du Merle,1998-01-18,Féminin,"ALIBORI,MALANVILLE,GUENE,GOUN-GOUN carré 3281",emmanueldumerle@gmail.com,+22968826219,ingénieur pétrolier pétrolière
Roland Bailly,1955-02-15,Masculin,"ATACORA,COBLY,COBLY,COBLY carré 0877",rolandbailly@gmail.com,+22999958500,directeur de restaurant
Margaret Joseph,2008-09-20,Masculin,"PLATEAU,ADJA-OUERE,ADJA-OUERE,AFFACHA carré 9114",,,
Nathalie Fabre,1982-07-23,Féminin,"ALIBORI,GOGOUNOU,SOUGOU-KPAN-TROSSI,DOUGOULAYE carré 7491",nathaliefabre@gmail.com,+22998585997,animateur de radio et de télévision
Lucas du Bigot,1985-06-16,Masculin,"PLATEAU,IFANGNI,BANIGBE,BANIGBE GARE carré 7569",lucasdubigot@gmail.com,+22991009025,contremaître
Rémy Tanguy,2002-11-17,Masculin,"ATACORA,COBLY,DATORI,MATALE carré 1628",rémytanguy@gmail.com,+22953584915,technicien en lignes haute tension
Michel Besson,2007-11-18,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,WOMEY YENAWA carré 5600",,,
William Colin,1959-10-04,Masculin,"ATLANTIQUE,TOFFO,AGUE,SEDJE carré 8404",williamcolin@gmail.com,+22961606864,marchandiseur
Nicole-Émilie Guilbert,1956-06-13,Masculin,"ZOU,ABOMEY,ZOUNZONME,DILIKOTCHO carré 4935",nicole-émilieguilbert@gmail.com,+22995843939,chanteur
Denise-Stéphanie Bonneau,1999-06-16,Féminin,"ZOU,ABOMEY,HOUNLI,VEKPA carré 7493",denise-stéphaniebonneau@gmail.com,+22952874822,vendeur-magasinier en fournitures automobiles
Colette Hamel,2020-08-12,Masculin,"PLATEAU,KETOU,ODOMETA,ATAN-OCHOUKPA carré 8117",,,
Marcel de la Buisson,1961-02-28,Masculin,"PLATEAU,SAKETE,ITA-DJEBOU,ILLAKO FAADJI-ITA AKPITY carré 1441",marceldelabuisson@gmail.com,+22965713566,rédacteur en chef
Théophile Pons,1979-10-08,Masculin,"COUFFO,DOGBO,AYOMI,GBANNAVE carré 9373",théophilepons@gmail.com,+22998172776,responsable de la collecte des déchets ménagers
Alexandrie Guérin-Lacroix,2014-02-04,Masculin,"OUEME,AKPRO-MISSERETE,VAKON,GOUAKO-KOTOCLOME carré 0774",,,
Gabrielle du Rodriguez,1962-08-25,Masculin,"COLLINES,OUESSE,KILIBO,KILIBO-OLATA carré 4871",gabrielledurodriguez@gmail.com,+22952513206,chargé d'études ressources humaines
Denis Dos Santos,1953-04-12,Masculin,"PLATEAU,POBE,ISSABA,KETTY carré 8047",denisdossantos@gmail.com,+22964656952,tailleur-couturier
Hélène de la Chauveau,1944-12-26,Féminin,"BORGOU,NIKKI,SUYA,CHEIN-DAROUKPARA carré 6446",hélènedelachauveau@gmail.com,+22961108949,opérateur sur machine à commande numérique
Margot Martins,1959-08-02,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,AKASSATO,GLO-TOKPA carré 1864",margotmartins@gmail.com,+22999597987,tapissier d'ameublement
Zoé de Coulon,2006-04-10,Masculin,"ZOU,ZAGNANADO,DOVI,LEGBADO carré 6239",,,
Bertrand Ribeiro-Chauvin,2007-05-10,Masculin,"COUFFO,DJAKOTOMEY,DJAKOTOMEY I,BEOTCHI carré 5458",,,
Camille Le Perrot,2015-06-22,Masculin,"ATACORA,KEROU,KEROU,GNANGNANOU carré 4785",,,
Thibault Martin,1971-05-09,Masculin,"BORGOU,NIKKI,OUENOU,GOURE BAABA carré 3296",thibaultmartin@gmail.com,+22995676429,carrossier
Maurice de la Fleury,2009-03-01,Masculin,"COLLINES,SAVE,OKPARA,MONKA carré 9481",,,
David Blanchard-Alexandre,2008-08-06,Féminin,"ATACORA,NATITINGOU,PERMA,TIGNANPETI carré 1411",,,
Astrid Rey,1995-11-19,Masculin,"MONO,LOKOSSA,KOUDO,HOUANME carré 6669",astridrey@gmail.com,+22991310602,modéliste
Agnès Le Giraud,1957-12-02,Masculin,"ALIBORI,KANDI,DONWARI,MONGO carré 1342",agnèslegiraud@gmail.com,+22956389385,libraire
Christophe Letellier,1997-06-28,Masculin,"COLLINES,DASSA-ZOUME,PAOUINGNAN,OUEME carré 2724",christopheletellier@gmail.com,+22991407717,magistrat
Jean Dupré,1993-03-08,Masculin,"COUFFO,TOVIKLIN,HOUEDOGLI,HOUEGANGBE carré 3604",jeandupré@gmail.com,+22966825155,auxiliaire de puériculture
Capucine Fleury Le Ramos,1997-07-12,Masculin,"ZOU,ZA-KPOTA,KPAKPAME,TANGBE carré 7884",capucinefleuryleramos@gmail.com,+22991861180,libraire
René Le Buisson,1973-06-17,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,TANKPE YOHO carré 9844",renélebuisson@gmail.com,+22967982698,agent de développement touristique
Grégoire Bertin,1930-10-10,Masculin,"ATLANTIQUE,ALLADA,LISSEGAZOUN,GBETO carré 6088",grégoirebertin@gmail.com,+22995365369,formulateur
Tristan Jacquet,1954-04-04,Masculin,"ALIBORI,KANDI,KANDI 1,PEDE carré 5097",tristanjacquet@gmail.com,+22964936814,agent immobilier immobilière
Isabelle Le Clerc,1977-09-24,Masculin,"ALIBORI,KANDI,BENSEKOU,KOUTAKROUKOU carré 1698",isabelleleclerc@gmail.com,+22998774853,styliste
Pénélope Lelièvre,1930-10-25,Féminin,"COUFFO,KLOUEKANMEY,ADJAHONME,OLOUHOUE carré 9999",pénélopelelièvre@gmail.com,+22952784496,géomètre-topographe
Dominique de Humbert,2020-07-25,Masculin,"ZOU,DJIDJA,DAN,DAN carré 6085",,,
Margot du Humbert,1965-04-21,Masculin,"PLATEAU,SAKETE,AGUIDI,IDJIBORO carré 9741",margotduhumbert@gmail.com,+22964052655,canalisateur
Colette Merle Le Robert,1988-01-19,Masculin,"BORGOU,N'DALI,BORI,GBITEBOU carré 6996",colettemerlelerobert@gmail.com,+22951846303,chargé de projet événementiel
William Techer,1981-08-15,Masculin,"ATLANTIQUE,KPOMASSE,SEGBEYA,SEGBEYA AKPOUTOUHOUE carré 3231",williamtecher@gmail.com,+22965960319,directeur d'hôpital
Alexandre Blanchard,1938-08-24,Masculin,"ZOU,BOHICON,BOHICON II,ZAKPO-ADAGAME carré 9117",alexandreblanchard@gmail.com,+22965659229,économètre statisticien
Éléonore Wagner,1998-08-06,Masculin,"COLLINES,GLAZOUE,AKLAMPA,SOWIANDJI carré 0376",éléonorewagner@gmail.com,+22995433156,énergéticien
Léon Da Costa,1977-10-30,Féminin,"BORGOU,TCHAOUROU,ALAFIAROU,ALAFIAROU carré 0422",léondacosta@gmail.com,+22967694496,responsable de la promotion des ventes
Georges-Gilles Ledoux,2014-11-02,Masculin,"COUFFO,APLAHOUE,AZOVE,AVEGODOUI carré 2624",,,
Philippe du Lebreton,2008-09-26,Masculin,"COLLINES,SAVE,KABOUA,OKOUNFO carré 7028",,,
Olivier Marchal,1930-10-12,Masculin,"OUEME,AVRANKOU,SADO,KATE-KLIKO carré 3810",oliviermarchal@gmail.com,+22968816737,ingénieur biomédical biomédicale
Thérèse-Juliette Camus,1961-03-30,Masculin,"COUFFO,LALO,LOKOGBA,GNAMAME carré 7598",thérèse-juliettecamus@gmail.com,+22995483799,ingénieur chimiste
Zacharie Diallo,2011-08-23,Féminin,"ZOU,BOHICON,BOHICON II,DOKON carré 7195",,,
Margot Bertin,2015-03-01,Masculin,"MONO,BOPA,POSSOTOME,POSSOTOME carré 7211",,,
Audrey Maillard,2011-07-19,Masculin,"COLLINES,DASSA-ZOUME,SOCLOGBO,AGBONDJEDO carré 9408",,,
Hugues Bourdon,1977-02-07,Masculin,"ATLANTIQUE,OUIDAH,OUIDAH II,LEBOU ALAFIA carré 3022",huguesbourdon@gmail.com,+22957109024,inséminateur
Aimé Chauvet,1990-08-18,Masculin,"OUEME,ADJOHOUN,AZOWLISSE,GBEKANDJI carré 2385",aiméchauvet@gmail.com,+22964172453,ingénieur forestier forestière
Augustin-Gilbert Techer,2021-06-02,Masculin,"DONGA,BASSILA,PENESSOULOU,OULI carré 4927",,,
Isabelle Girard,2017-05-26,Masculin,"PLATEAU,POBE,TOWE,TOWE carré 4975",,,
Louis Raynaud,1961-09-08,Masculin,"ATACORA,TOUKOUNTOUNA,TAMPEGRE,BATITAMOU carré 8335",louisraynaud@gmail.com,+22965765207,océanologue
Élisabeth Delattre,1994-11-29,Féminin,"OUEME,PORTO-NOVO,1ER ARRONDISSEMENT,AHOUANTIKOMEY carré 5313",élisabethdelattre@gmail.com,+22965977916,commercial export
Véronique Perrin,1969-04-15,Masculin,"BORGOU,TCHAOUROU,SANSON,BAREROU carré 1238",véroniqueperrin@gmail.com,+22952849480,facteur
Monique de la Blondel,1950-11-22,Masculin,"ATACORA,TANGUIETA,N'DAHONTA,TCHAETA carré 6454",moniquedelablondel@gmail.com,+22990497388,archiviste
Bernard Boucher,1934-11-21,Masculin,"LITTORAL,COTONOU,4EME ARRONDISSEMENT,MISSESSIN carré 7459",bernardboucher@gmail.com,+22994694826,ingénieur systèmes embarqués
Manon Guichard,2011-06-08,Masculin,"ATLANTIQUE,OUIDAH,HOUAKPE-DAHO,AZIZAKOUE carré 6810",,,
Alfred-David Joubert,1934-04-17,Masculin,"ATLANTIQUE,ZE,ZE,DOKOTA-AGA carré 0650",alfred-davidjoubert@gmail.com,+22967559609,substitut du procureur
Dominique-Clémence Bonnin,2019-03-20,Masculin,"BORGOU,TCHAOUROU,TCHAOUROU,GANGO carré 1075",,,
Benoît Boutin-Barbier,1999-03-25,Masculin,"COLLINES,BANTE,LOUGBA,ALETAN carré 8868",benoîtboutin-barbier@gmail.com,+22951148727,assistant en études de prix
Paulette Loiseau,2019-09-28,Féminin,"DONGA,DJOUGOU,SEROU,NAGATCHOHI carré 1566",,,
Clémence-Alice Ruiz,1979-11-27,Masculin,"ATLANTIQUE,ZE,TANGBO,DJITIN-AGA carré 6752",clémence-aliceruiz@gmail.com,+22965277679,responsable du recrutement
Camille Weiss,2021-06-30,Masculin,"ALIBORI,BANIKOARA,TOURA,GNAMBOURANKOROU carré 7665",,,
Laurent Collet-Maillard,2017-11-29,Masculin,"BORGOU,PERERE,PANE,KPANE-GUEA carré 1645",,,
Nicolas Salmon Le Hamon,1954-05-26,Masculin,"ZOU,BOHICON,BOHICON I,AGBANWEME carré 6195",nicolassalmonlehamon@gmail.com,+22990571120,attaché commercial commerciale
Céline Rocher,1971-10-30,Masculin,"ZOU,AGBANGNIZOUN,LISSAZOUNME,DILLY-FANOU carré 7225",célinerocher@gmail.com,+22968520165,cogniticien
Richard Weiss-Legrand,1980-06-28,Masculin,"OUEME,ADJARRA,ADJARRA 1,AHOUANDJI carré 7262",richardweiss-legrand@gmail.com,+22994627195,directeur d'hôtel
Thomas-Robert Morvan,1941-07-22,Masculin,"COUFFO,TOVIKLIN,ADJIDO,AGBOZOHOUDJI carré 4368",thomas-robertmorvan@gmail.com,+22956060560,photographe
Véronique Lopes-Dumas,1990-03-17,Masculin,"ALIBORI,GOGOUNOU,SORI,GNINDAROU carré 7382",véroniquelopes-dumas@gmail.com,+22965749979,huissier de justice
Bertrand du Torres,1977-07-29,Masculin,"ALIBORI,MALANVILLE,TOUMBOUTOU,GOROU-DJINDE carré 1257",bertranddutorres@gmail.com,+22968975891,dessinateur de BD
Alfred-Jacques Marie,2011-11-17,Féminin,"ALIBORI,SEGBANA,SOKOTINDJI,SEREBANI carré 6392",,,
Céline Rodriguez,1960-03-09,Masculin,"OUEME,AKPRO-MISSERETE,GOME-SOTA,AGONDOZOUN carré 9156",célinerodriguez@gmail.com,+22990418181,contrôleur de performance
Renée Rousseau-Henry,2014-04-07,Masculin,"ZOU,ZOGBODOMEY,ZOGBODOMEY CENTRE,ZADO-ADAGON carré 4333",,,
Charles Dupuy,1985-10-05,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,TOGBA,HOUETO carré 9124",charlesdupuy@gmail.com,+22999166370,directeur des services pénitentiaires
Monique Allard,1954-11-11,Masculin,"ALIBORI,BANIKOARA,GOMPAROU,GOMPAROU GOKPADOU carré 5187",moniqueallard@gmail.com,+22994369895,coffreur-boiseur
Aimé Pages,1968-03-09,Masculin,"BORGOU,SINENDE,SEKERE,SEKERE-MARO carré 6800",aimépages@gmail.com,+22961402117,orfèvre
Frédéric Costa,1986-11-04,Féminin,"OUEME,ADJARRA,AGLOGBE,BOKOVI-TCHAKA carré 3734",frédériccosta@gmail.com,+22961481768,chauffeur de taxi
Vincent de la Dumont,1995-05-12,Masculin,"COLLINES,OUESSE,IKEMON,IKEMON-EWONTOUTOU carré 4910",vincentdeladumont@gmail.com,+22954746272,technicien d'exploitation du réseau gaz
Juliette Bourdon,1992-03-21,Masculin,"COLLINES,OUESSE,TOUI,ODO-AKABA carré 6004",juliettebourdon@gmail.com,+22999337512,technicien de maintenance en informatique
Michèle Faivre,1941-06-12,Féminin,"ZOU,ZOGBODOMEY,AKIZA,DENOU-LISSEZIN carré 5628",michèlefaivre@gmail.com,+22995467153,responsable de site de traitement des déchets
Susan Besnard-Bailly,1968-07-11,Masculin,"BORGOU,N'DALI,BORI,BORI-PEULH carré 2499",susanbesnard-bailly@gmail.com,+22990513634,plâtrier
Aurélie Guyon,1973-06-03,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,AKASSATO,AGASSA-GODOMEY carré 0455",aurélieguyon@gmail.com,+22994854451,juriste en droit social
Madeleine Hardy,1983-11-22,Masculin,"PLATEAU,SAKETE,AGUIDI,KOBEDJO carré 8608",madeleinehardy@gmail.com,+22995641156,ingénieur nucléaire
Lucy de Dumas,2000-11-30,Masculin,"ZOU,ABOMEY,DJEGBE,DJIME carré 7712",lucydedumas@gmail.com,+22995416178,enquêteur privé privée
Rémy Collet,1975-04-15,Masculin,"COUFFO,DJAKOTOMEY,SOKOUHOUE,SOKOUHOUE carré 1217",rémycollet@gmail.com,+22968765586,ingénieur recherche et développement en agroalimentaire
Hélène Albert,1980-12-06,Masculin,"LITTORAL,COTONOU,3EME ARRONDISSEMENT,ADJEGOUNLE carré 7971",hélènealbert@gmail.com,+22962712707,géothermicien
Catherine Roger de la Da Costa,2022-03-11,Féminin,"ZOU,ZA-KPOTA,ZA-KPOTA,ZA-KPOTA carré 5215",,,
Zacharie Delaunay,1951-09-19,Masculin,"OUEME,ADJOHOUN,AKPADANOU,DEKANME carré 8325",zachariedelaunay@gmail.com,+22951649278,employé de pressing
Danielle-Henriette Tessier,1972-02-04,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,FIGNONHOU carré 0130",danielle-henriettetessier@gmail.com,+22999737994,responsable approvisionnement
Michel Rey,1957-04-23,Masculin,"OUEME,BONOU,ATCHONSA,ATCHONSA-CENTRE carré 7484",michelrey@gmail.com,+22990077862,chargé de clientèle banque
Hélène Alexandre de la Samson,1936-07-18,Masculin,"BORGOU,PARAKOU,2EME ARRONDISSEMENT,LADJIFARANI-PETIT PERE carré 6817",hélènealexandredelasamson@gmail.com,+22995919266,ingénieur de la police technique et scientifique
Gabriel Peron,2002-09-10,Masculin,"COLLINES,DASSA-ZOUME,PAOUINGNAN,GBOWELE carré 4100",gabrielperon@gmail.com,+22990803219,guide de haute montagne
Laurent Chevallier,1960-07-12,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DOWA  DEDOME carré 1804",laurentchevallier@gmail.com,+22965805656,community manager
Jacqueline Le Dubois,1930-04-07,Masculin,"BORGOU,TCHAOUROU,BETEROU,KPESSOU carré 4193",jacquelineledubois@gmail.com,+22998620865,rudologue
Margaux-Pauline Langlois,1960-03-25,Masculin,"DONGA,OUAKE,OUAKE,SOBITE carré 3696",margaux-paulinelanglois@gmail.com,+22954447249,veilleur stratégique
Anastasie Cousin,2000-07-10,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,TOGBA,TOKAN carré 6321",anastasiecousin@gmail.com,+22968437228,traducteur-interprète
Louis Diallo,1957-09-30,Féminin,"COLLINES,SAVALOU,LEMA,OKOUFFO carré 6792",louisdiallo@gmail.com,+22954550597,conducteur de machines agricoles
Adèle-Clémence Maillard,2004-09-16,Masculin,"ATACORA,COBLY,COBLY,OUYERIHOUN carré 6022",adèle-clémencemaillard@gmail.com,+22950456620,météorologiste
Jacqueline Perez,1949-02-14,Masculin,"MONO,BOPA,YEGODOE,OZOUEDJAME carré 4743",jacquelineperez@gmail.com,+22956812914,designer industriel industrielle
Michelle-Luce Le Goff,1936-07-21,Masculin,"OUEME,SEME-PODJI,EKPE,DJEFFA GLEGBONOU carré 6529",michelle-lucelegoff@gmail.com,+22962419538,déménageur
Jean Paris,1955-11-04,Masculin,"MONO,GRAND-POPO,AGOUE,HILLA CONDJI carré 4772",jeanparis@gmail.com,+22950893814,ingénieur forestier forestière
Christiane-Aurore Ruiz,1997-05-25,Masculin,"ATLANTIQUE,ALLADA,HINVI,DOVO carré 0505",christiane-auroreruiz@gmail.com,+22996404544,conseiller en environnement
Étienne Sauvage,1949-01-19,Féminin,"BORGOU,TCHAOUROU,ALAFIAROU,OLOUNGBE carré 9153",étiennesauvage@gmail.com,+22962292108,chef monteur monteuse
Gilles Renaud,1995-09-29,Masculin,"MONO,LOKOSSA,LOKOSSA,DJEHADJI carré 3904",gillesrenaud@gmail.com,+22965147797,ingénieur en construction navale
Charles-David Hubert,2000-10-28,Masculin,"COLLINES,OUESSE,ODOUGBA,N'GBEHOUEDO carré 8564",charles-davidhubert@gmail.com,+22964784953,aquaculteur
Luc Vallée,1944-07-28,Féminin,"ZOU,ABOMEY,HOUNLI,GBEKON HOUNLI carré 8531",lucvallée@gmail.com,+22964684715,horticulteur
Caroline Bodin,1982-03-14,Masculin,"PLATEAU,KETOU,KPANKOU,KPANKOU carré 4734",carolinebodin@gmail.com,+22964925479,cordiste
Thierry-Édouard Gosselin,1976-01-19,Masculin,"BORGOU,NIKKI,OUENOU,FOMBAWI carré 9144",thierry-édouardgosselin@gmail.com,+22994507194,concepteur-rédacteur
Sylvie Grégoire,2001-08-04,Féminin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,YAGBE carré 9340",sylviegrégoire@gmail.com,+22953800687,responsable du service après-vente
Benoît Leleu,2007-10-10,Féminin,"OUEME,AKPRO-MISSERETE,KATAGON,AMOULOKO carré 7311",,,
